Angulo:10
t=0.079,posx=3.14681 , posy=0.538527 , velx=12.1301 , vely=1.73253
t=0.08,posx=3.15886 , posy=0.540244 , velx=11.9833 , vely=1.70162
t=0.081,posx=3.17077 , posy=0.54193 , velx=11.84 , vely=1.67133
t=0.082,posx=3.18254 , posy=0.543587 , velx=11.7001 , vely=1.64164
t=0.083,posx=3.19418 , posy=0.545214 , velx=11.5635 , vely=1.61253
t=0.084,posx=3.20567 , posy=0.546812 , velx=11.4301 , vely=1.58398
t=0.085,posx=3.21704 , posy=0.548382 , velx=11.2997 , vely=1.55597
t=0.086,posx=3.22827 , posy=0.549924 , velx=11.1723 , vely=1.52848
t=0.087,posx=3.23938 , posy=0.551439 , velx=11.0477 , vely=1.50149
t=0.088,posx=3.25037 , posy=0.552927 , velx=10.9259 , vely=1.47499
t=0.089,posx=3.26124 , posy=0.554389 , velx=10.8067 , vely=1.44897
t=0.09,posx=3.27198 , posy=0.555825 , velx=10.6902 , vely=1.42339
t=0.091,posx=3.28262 , posy=0.557236 , velx=10.5761 , vely=1.39826
t=0.092,posx=3.29314 , posy=0.558622 , velx=10.4645 , vely=1.37355
t=0.093,posx=3.30355 , posy=0.559983 , velx=10.3552 , vely=1.34926
t=0.094,posx=3.31385 , posy=0.561321 , velx=10.2482 , vely=1.32537
t=0.095,posx=3.32404 , posy=0.562634 , velx=10.1434 , vely=1.30187
t=0.096,posx=3.33414 , posy=0.563925 , velx=10.0407 , vely=1.27874
t=0.097,posx=3.34413 , posy=0.565192 , velx=9.94012 , vely=1.25598
t=0.098,posx=3.35402 , posy=0.566437 , velx=9.84153 , vely=1.23357
t=0.099,posx=3.36381 , posy=0.567659 , velx=9.74488 , vely=1.2115
t=0.1,posx=3.37351 , posy=0.56886 , velx=9.65012 , vely=1.18977
t=0.101,posx=3.38311 , posy=0.570039 , velx=9.5572 , vely=1.16836
t=0.102,posx=3.39262 , posy=0.571197 , velx=9.46606 , vely=1.14727
t=0.103,posx=3.40204 , posy=0.572333 , velx=9.37666 , vely=1.12648
t=0.104,posx=3.41138 , posy=0.57345 , velx=9.28894 , vely=1.10599
t=0.105,posx=3.42062 , posy=0.574546 , velx=9.20285 , vely=1.08578
t=0.106,posx=3.42978 , posy=0.575621 , velx=9.11836 , vely=1.06586
t=0.107,posx=3.43886 , posy=0.576677 , velx=9.03542 , vely=1.04621
t=0.108,posx=3.44785 , posy=0.577714 , velx=8.95398 , vely=1.02683
t=0.109,posx=3.45677 , posy=0.578731 , velx=8.87401 , vely=1.0077
t=0.11,posx=3.4656 , posy=0.579729 , velx=8.79546 , vely=0.988826
t=0.111,posx=3.47436 , posy=0.580709 , velx=8.7183 , vely=0.970195
t=0.112,posx=3.48304 , posy=0.58167 , velx=8.64249 , vely=0.951802
t=0.113,posx=3.49164 , posy=0.582613 , velx=8.568 , vely=0.933641
t=0.114,posx=3.50018 , posy=0.583537 , velx=8.49479 , vely=0.915707
t=0.115,posx=3.50863 , posy=0.584444 , velx=8.42283 , vely=0.897992
t=0.116,posx=3.51702 , posy=0.585333 , velx=8.35209 , vely=0.880492
t=0.117,posx=3.52534 , posy=0.586205 , velx=8.28253 , vely=0.863201
t=0.118,posx=3.53359 , posy=0.58706 , velx=8.21413 , vely=0.846114
t=0.119,posx=3.54177 , posy=0.587897 , velx=8.14686 , vely=0.829225
t=0.12,posx=3.54988 , posy=0.588718 , velx=8.0807 , vely=0.812531
t=0.121,posx=3.55793 , posy=0.589522 , velx=8.0156 , vely=0.796026
t=0.122,posx=3.56591 , posy=0.59031 , velx=7.95156 , vely=0.779705
t=0.123,posx=3.57383 , posy=0.591082 , velx=7.88853 , vely=0.763565
t=0.124,posx=3.58169 , posy=0.591838 , velx=7.82651 , vely=0.747601
t=0.125,posx=3.58949 , posy=0.592577 , velx=7.76546 , vely=0.731808
t=0.126,posx=3.59722 , posy=0.593301 , velx=7.70536 , vely=0.716184
t=0.127,posx=3.6049 , posy=0.59401 , velx=7.64619 , vely=0.700723
t=0.128,posx=3.61251 , posy=0.594703 , velx=7.58794 , vely=0.685422
t=0.129,posx=3.62007 , posy=0.595381 , velx=7.53056 , vely=0.670277
t=0.13,posx=3.62757 , posy=0.596043 , velx=7.47406 , vely=0.655285
t=0.131,posx=3.63502 , posy=0.596691 , velx=7.41841 , vely=0.640443
t=0.132,posx=3.64241 , posy=0.597324 , velx=7.36358 , vely=0.625747
t=0.133,posx=3.64975 , posy=0.597943 , velx=7.30956 , vely=0.611193
t=0.134,posx=3.65703 , posy=0.598547 , velx=7.25634 , vely=0.596779
t=0.135,posx=3.66426 , posy=0.599136 , velx=7.20389 , vely=0.582502
t=0.136,posx=3.67144 , posy=0.599712 , velx=7.15221 , vely=0.568359
t=0.137,posx=3.67857 , posy=0.600273 , velx=7.10126 , vely=0.554346
t=0.138,posx=3.68564 , posy=0.60082 , velx=7.05104 , vely=0.540461
t=0.139,posx=3.69267 , posy=0.601354 , velx=7.00153 , vely=0.526701
t=0.14,posx=3.69965 , posy=0.601874 , velx=6.95271 , vely=0.513063
t=0.141,posx=3.70657 , posy=0.60238 , velx=6.90458 , vely=0.499546
t=0.142,posx=3.71345 , posy=0.602873 , velx=6.85711 , vely=0.486146
t=0.143,posx=3.72029 , posy=0.603352 , velx=6.8103 , vely=0.472861
t=0.144,posx=3.72708 , posy=0.603819 , velx=6.76412 , vely=0.459689
t=0.145,posx=3.73382 , posy=0.604272 , velx=6.71858 , vely=0.446628
t=0.146,posx=3.74051 , posy=0.604712 , velx=6.67364 , vely=0.433674
t=0.147,posx=3.74716 , posy=0.605139 , velx=6.62931 , vely=0.420826
t=0.148,posx=3.75377 , posy=0.605554 , velx=6.58557 , vely=0.408082
t=0.149,posx=3.76034 , posy=0.605955 , velx=6.5424 , vely=0.39544
t=0.15,posx=3.76686 , posy=0.606345 , velx=6.4998 , vely=0.382898
t=0.151,posx=3.77333 , posy=0.606721 , velx=6.45775 , vely=0.370454
t=0.152,posx=3.77977 , posy=0.607086 , velx=6.41625 , vely=0.358105
t=0.153,posx=3.78617 , posy=0.607437 , velx=6.37529 , vely=0.34585
t=0.154,posx=3.79252 , posy=0.607777 , velx=6.33484 , vely=0.333688
t=0.155,posx=3.79884 , posy=0.608105 , velx=6.29491 , vely=0.321616
t=0.156,posx=3.80511 , posy=0.60842 , velx=6.25548 , vely=0.309633
t=0.157,posx=3.81135 , posy=0.608724 , velx=6.21655 , vely=0.297737
t=0.158,posx=3.81755 , posy=0.609016 , velx=6.1781 , vely=0.285927
t=0.159,posx=3.82371 , posy=0.609296 , velx=6.14013 , vely=0.2742
t=0.16,posx=3.82983 , posy=0.609564 , velx=6.10262 , vely=0.262555
t=0.161,posx=3.83591 , posy=0.609821 , velx=6.06557 , vely=0.250992
t=0.162,posx=3.84196 , posy=0.610066 , velx=6.02897 , vely=0.239508
t=0.163,posx=3.84797 , posy=0.6103 , velx=5.99282 , vely=0.228101
t=0.164,posx=3.85394 , posy=0.610523 , velx=5.95709 , vely=0.216771
t=0.165,posx=3.85988 , posy=0.610734 , velx=5.92179 , vely=0.205516
t=0.166,posx=3.86579 , posy=0.610934 , velx=5.88691 , vely=0.194335
t=0.167,posx=3.87166 , posy=0.611122 , velx=5.85244 , vely=0.183227
t=0.168,posx=3.87749 , posy=0.6113 , velx=5.81837 , vely=0.172189
t=0.169,posx=3.88329 , posy=0.611467 , velx=5.7847 , vely=0.161222
t=0.17,posx=3.88906 , posy=0.611623 , velx=5.75142 , vely=0.150323
t=0.171,posx=3.8948 , posy=0.611768 , velx=5.71852 , vely=0.139491
t=0.172,posx=3.9005 , posy=0.611902 , velx=5.68599 , vely=0.128727
t=0.173,posx=3.90617 , posy=0.612025 , velx=5.65384 , vely=0.118027
t=0.174,posx=3.91181 , posy=0.612138 , velx=5.62205 , vely=0.107391
t=0.175,posx=3.91741 , posy=0.61224 , velx=5.59061 , vely=0.0968188
t=0.176,posx=3.92299 , posy=0.612331 , velx=5.55952 , vely=0.0863082
t=0.177,posx=3.92853 , posy=0.612412 , velx=5.52878 , vely=0.0758586
t=0.178,posx=3.93405 , posy=0.612483 , velx=5.49838 , vely=0.065469
t=0.179,posx=3.93953 , posy=0.612543 , velx=5.46831 , vely=0.0551383
